Date,AT_solar_generation_actual,BE_solar_generation_actual,BG_solar_generation_actual,CH_solar_generation_actual,CZ_solar_generation_actual,Power,Temp,radiation_direct,radiation_h
2015-01-01T01:00:00+0100,0,0,0,,0,0,-1.035,0,0
2015-01-01T02:00:00+0100,0,0,0,0.05,0,0,-1.035,0,0
2015-01-01T03:00:00+0100,0,0,0,0.07,0,0,-1.109,0,0
2015-01-01T04:00:00+0100,0,0,0,0.07,0,0,-1.166,0,0
2015-01-01T05:00:00+0100,0,0,0,0.07,0,0,-1.226,0,0
2015-01-01T06:00:00+0100,0,0,0,0.07,0,0,-1.305,0,0
2015-01-01T07:00:00+0100,0,0,0,0.07,0,0,-1.478,0,0
2015-01-01T08:00:00+0100,2,0,234,0.23,8.04,71,-1.692,0.4328,6.768
2015-01-01T09:00:00+0100,10,92.66,445,2.1,22.04,773,-1.046,8.8773,51.9464
2015-01-01T10:00:00+0100,21,374.89,576,4.94,37.94,2117,0.072,34.1583,97.0929
2015-01-01T11:00:00+0100,32,739.92,599,8.14,71.9,3364,0.866,56.5458,120.2907
2015-01-01T12:00:00+0100,37,938.06,588,9.79,109.24,4198,1.493,62.869,126.2112
2015-01-01T13:00:00+0100,35,848.65,446,10.08,131.04,3500,1.818,54.2607,115.7275
2015-01-01T14:00:00+0100,27,537.16,222,7.69,83.14,2279,1.726,28.5704,87.5581
2015-01-01T15:00:00+0100,14,256.62,37,3.96,22.29,746,1.103,5.8398,38.3294
2015-01-01T16:00:00+0100,3,40.91,1,0.66,2.78,50,0.18,0.1808,2.2971
2015-01-01T17:00:00+0100,0,0,0,0.06,0,0,-0.154,0,0
2015-01-01T18:00:00+0100,0,0,0,0.07,0,0,-0.336,0,0
2015-01-01T19:00:00+0100,0,0,0,0.07,0,0,-0.41,0,0
2015-01-01T20:00:00+0100,0,0,0,0.07,0,0,-0.451,0,0
2015-01-01T21:00:00+0100,0,0,0,0.07,0,0,-0.493,0,0
2015-01-01T22:00:00+0100,0,0,0,0.07,0,0,-0.505,0,0
2015-01-01T23:00:00+0100,0,0,0,0.07,0,0,-0.481,0,0
2015-01-02T00:00:00+0100,0,0,0,0.07,0,0,-0.493,0,0
2015-01-02T01:00:00+0100,0,0,0,0.07,0,0,-0.49,0,0
2015-01-02T02:00:00+0100,0,0,0,0.04,0,0,-0.432,0,0
2015-01-02T03:00:00+0100,0,0,0,0.03,0,0,-0.326,0,0
2015-01-02T04:00:00+0100,0,0,0,0.03,0,0,-0.17,0,0
2015-01-02T05:00:00+0100,0,0,0,0.03,0,0,-0.016,0,0
2015-01-02T06:00:00+0100,0,0,1,0.03,0,0,0.198,0,0
2015-01-02T07:00:00+0100,0,0,61,0.05,3.88,0,0.486,0,0
2015-01-02T08:00:00+0100,3,0,212,0.47,25.56,38,0.893,0.2572,6.4205
2015-01-02T09:00:00+0100,15,6.96,342,3.3,122.31,252,1.577,1.5738,35.8543
2015-01-02T10:00:00+0100,33,70.89,419,6.48,232.11,667,2.327,3.6359,68.0313
2015-01-02T11:00:00+0100,50,169.08,406,9.16,299.42,1262,3.027,7.958,100.6625
2015-01-02T12:00:00+0100,58,329.49,353,7.3,194.6,1726,3.517,10.5469,112.3497
2015-01-02T13:00:00+0100,55,554.93,285,3.68,78.02,1899,3.729,8.6502,98.9765
2015-01-02T14:00:00+0100,41,582.9,141,1.85,28.64,1352,3.646,7.0701,76.7582
2015-01-02T15:00:00+0100,20,347.36,21,0.84,8.92,516,3.205,2.0189,32.6811
2015-01-02T16:00:00+0100,4,56.27,0,0.11,2.62,45,2.656,0.0472,1.6058
2015-01-02T17:00:00+0100,0,0,0,0.06,0,0,2.39,0,0
2015-01-02T18:00:00+0100,0,0,0,0.07,0,0,2.252,0,0
